Groupe 12967 red
Point -0.38109 0.056836 red
Point -0.40261 0.141235 red
Point -0.41646 0.225406 red
Point -0.42368 0.308897 red
Point -0.42526 0.391486 red
Point -0.4221 0.473104 red
Point -0.41501 0.553759 red
Point -0.40469 0.633493 red
Point -0.39179 0.712342 red
Point -0.37687 0.790327 red
Point -0.36047 0.867436 red
Point -0.34309 0.943628 red
Point -0.3252 1.01883 red
Point -0.30725 1.09294 red
Point -0.28969 1.16585 red
Point -0.27292 1.2374 red
Point -0.25735 1.3074 red
Point -0.24338 1.37562 red
Point -0.23136 1.44182 red
Point -0.22164 1.50573 red
Point -0.21452 1.56708 red
Point -0.21025 1.62558 red
Point -0.20903 1.68098 red
Point -0.21099 1.73305 red
Point -0.2162 1.78169 red
Point -0.22469 1.82692 red
Point -0.23655 1.86901 red
Point -0.2525 1.90991 red
Point -0.27276 1.9503 red
Point -0.29711 1.9898 red
Point -0.32521 2.02797 red
Point -0.35663 2.06434 red
Point -0.39087 2.09848 red
Point -0.42736 2.12997 red
Point -0.46547 2.15844 red
Point -0.50454 2.18354 red
Point -0.54384 2.20497 red
Point -0.5826 2.22251 red
Point -0.61999 2.23601 red
Point -0.65516 2.24543 red
Point -0.68809 2.25104 red
Point -0.71962 2.25327 red
Point -0.75018 2.2524 red
Point -0.78018 2.24855 red
Point -0.80993 2.24174 red
Point -0.83964 2.23193 red
Point -0.86939 2.21909 red
Point -0.89917 2.20317 red
Point -0.92886 2.1842 red
Point -0.95834 2.16227 red
Point -0.98742 2.1375 red
Point -1.01595 2.11006 red
Point -1.04375 2.08019 red
Point -1.07067 2.04811 red
Point -1.09665 2.01398 red
Point -1.12208 1.97751 red
Point -1.14718 1.93877 red
Point -1.17218 1.89794 red
Point -1.19732 1.85523 red
Point -1.22286 1.81088 red
Point -1.24909 1.76514 red
Point -1.27632 1.71828 red
Point -1.30487 1.67058 red
Point -1.33507 1.62233 red
Point -1.36727 1.57382 red
Point -1.40181 1.52537 red
Point -1.439 1.47729 red
Point -1.47918 1.42994 red
Point -1.52262 1.38365 red
Point -1.56959 1.33875 red
Point -1.62034 1.29559 red
Point -1.67508 1.25448 red
Point -1.73401 1.21568 red
Point -1.79733 1.17945 red
Point -1.86524 1.146 red
Point -1.93796 1.11548 red
Point -2.01573 1.08805 red
Point -2.09884 1.06383 red
Point -2.18758 1.04293 red
Point -2.28227 1.02547 red
Point -2.38327 1.01155 red
Point -2.49093 1.00131 red
Point -2.60562 0.994862 red
Point -2.72773 0.992356 red
Point -2.85762 0.993935 red
Point -2.99568 0.999756 red
Point -2.85813 1.01038 red
Point -2.72977 1.02416 red
Point -2.61028 1.04138 red
Point -2.49936 1.06182 red
Point -2.39671 1.08528 red
Point -2.302 1.11152 red
Point -2.21493 1.1403 red
Point -2.13514 1.17138 red
Point -2.06228 1.20451 red
Point -1.99596 1.23944 red
Point -1.93578 1.27595 red
Point -1.88129 1.31381 red
Point -1.83203 1.35284 red
Point -1.78752 1.39289 red
Point -1.74727 1.43383 red
Point -1.71079 1.47559 red
Point -1.67762 1.51813 red
Point -1.64731 1.5614 red
Point -1.61944 1.6054 red
Point -1.59363 1.65011 red
Point -1.56949 1.69551 red
Point -1.54668 1.74156 red
Point -1.52484 1.78822 red
Point -1.50364 1.83542 red
Point -1.48272 1.8831 red
Point -1.46171 1.93118 red
Point -1.44025 1.97955 red
Point -1.41793 2.02812 red
Point -1.39434 2.07677 red
Point -1.36903 2.12535 red
Point -1.34153 2.17368 red
Point -1.31142 2.22147 red
Point -1.27873 2.26799 red
Point -1.24344 2.31289 red
Point -1.20547 2.35588 red
Point -1.1647 2.39667 red
Point -1.12104 2.43491 red
Point -1.07436 2.47022 red
Point -1.0246 2.50215 red
Point -0.9717 2.53022 red
Point -0.91572 2.55387 red
Point -0.85679 2.57254 red
Point -0.79518 2.58567 red
Point -0.73127 2.59276 red
Point -0.66553 2.59344 red
Point -0.59845 2.58743 red
Point -0.53108 2.57483 red
Point -0.46432 2.55617 red
Point -0.39838 2.53186 red
Point -0.33351 2.50219 red
Point -0.27001 2.46739 red
Point -0.20824 2.4276 red
Point -0.14859 2.38292 red
Point -0.09153 2.33342 red
Point -0.03754 2.27912 red
Point 0.012788 2.22003 red
Point 0.058817 2.15615 red
Point 0.099807 2.08746 red
Point 0.134919 2.01403 red
Point 0.163032 1.93698 red
Point 0.183787 1.85864 red
Point 0.197972 1.77963 red
Point 0.20642 1.70035 red
Point 0.209932 1.62104 red
Point 0.209249 1.54184 red
Point 0.205047 1.46286 red
Point 0.197942 1.38417 red
Point 0.188503 1.30584 red
Point 0.177261 1.22799 red
Point 0.164718 1.15072 red
Point 0.151356 1.07417 red
Point 0.137641 0.998499 red
Point 0.124027 0.923916 red
Point 0.110967 0.850658 red
Point 0.098898 0.778965 red
Point 0.088238 0.709107 red
Point 0.079383 0.641387 red
Point 0.072695 0.576137 red
Point 0.068493 0.513719 red
Point 0.067036 0.454512 red
Point 0.068508 0.398902 red
Point 0.072997 0.34724 red
Point 0.080492 0.299799 red
Point 0.090891 0.256701 red
Point 0.104058 0.217837 red
Point 0.120066 0.182429 red
Point 0.139683 0.148188 red
